Freq[Hz]  Imp[Ohm]  Phase[Deg]
26178.5     31.473    30.090
26559.3     31.613    30.024
26945.6     31.752    29.959
27337.5     31.892    29.896
27735.2     32.031    29.833
28138.6     32.171    29.772
28547.9     32.310    29.711
28963.1     32.450    29.652
29384.4     32.589    29.593
29811.8     32.729    29.536
30245.4     32.868    29.479
30685.3     33.008    29.424
31131.7     33.148    29.371
31584.5     33.287    29.318
32043.9     33.427    29.267
32510.0     33.566    29.217
32982.8     33.706    29.168
33462.6     33.845    29.121
33949.3     33.985    29.076
34443.1     34.124    29.032
34944.1     34.264    28.990
35452.4     34.403    28.949
35968.0     34.543    28.911
36491.2     34.682    28.875
37022.0     34.822    28.841
37560.5     34.961    28.812
38106.8     35.087    28.787
38661.1     35.201    28.770
39223.4     35.286    28.759
39793.9     35.351    28.751
